fig_num,fig_name,num_parts,age_group_heuristic
fig-000246,"Racer, Blue and White Outfit with Shark, Blue Hat with Goggles",5,Unspecified
fig-000247,"Stephanie - White Jersey, Dark Blue Trousers",4,Unspecified
fig-000248,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Orange Legs, Red Hard Hat, Moustache and Stubble",4,Unspecified
fig-000249,Shrunken,4,Unspecified
fig-000250,Captain Jack Sparrow with Tricorne Hat,4,Unspecified
fig-000251,"Knight (Scale Mail on Red) - Black Arms, Blue Legs, Black Chin-Guard",4,Unspecified
fig-000252,"Chef - White Torso, Light Gray Legs",4,Unspecified
fig-000253,"Conductor - Dark Blue Jacket, Dark Blue Legs, Dark Red Hat, Glasses",4,Unspecified
fig-000254,"Construction Worker in Orange Jacket with Zipper and Reflective Stripes, Red Helmet, Smirk and Stubble Beard",4,Unspecified
fig-000255,Space Miner,6,Unspecified
fig-000256,Spitta,3,Unspecified
fig-000257,"White Torso, Blue Legs, Red Cap (3626b Head)",4,Unspecified
fig-000258,"Fireman, Black Fire Jacket with Red Belt and Badge, White Helmet",4,Adult-coded
fig-000259,"T-16 Skyhopper Pilot, Red Outfit, Yellow Skin",4,Unspecified
fig-000260,Aquaraider 2,5,Unspecified
fig-000261,"Emmet, Neck Bracket",5,Unspecified
fig-000262,"Emmet, Pajamas",4,Unspecified
fig-000263,"Classic Spaceman, White with Airtanks (3842b Helmet)",5,Adult-coded
fig-000264,Radio DJ Robot,4,Unspecified
fig-000265,"Man, Blue Jacket with Octan Logo, White Legs, Blue Cap",4,Adult-coded
fig-000266,"Fireman, Black Fire Jacket with Radio and Badge, White Helmet, Airtanks, Breathing Apparatus",7,Adult-coded
fig-000267,"Emmet, Western Outfit",6,Unspecified
fig-000268,"Andrea - White Top, Bright Light Orange Skirt. Magenta Bow",5,Unspecified
fig-000269,Soccer Player Coca-Cola Midfielder 1,4,Older Adult-coded
fig-000270,Darth Maul in Santa Outfit,5,Unspecified
